code_suas,municipio,cod_ibge,uf,nome_centro,tipo_centro,endereco,telefone,data_abertura,fonte_centros,fonte_geocode,lon,lat
25136504359,Santarém,2513653,PB,CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,CRAS,"PROJETADA, 0 - CENTRO, Santarém - PB, 58928000",8335631075,28/07/2005,MDS,Google,-38.4794135,-6.4843509
22019104281,Bom Princípio do Piauí,2201919,PI,CRAS - LUIS BATISTA DE MORAES,CRAS,"PROJETADA, 0 - MARIA HILDENER, Bom Princípio do Piauí - PI, 64225000",86981074537,01/12/2006,MDS,Google,-41.6394289,-3.189942
23136020615,Ubajara,2313609,CE,CRAS II - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL CRISANTEMA SOUSA CUNHA,CRAS,"PRUDENCIO FURTADO, 622 - MONTE CASTELO, Ubajara - CE, 62350000",8836341192,12/07/2010,MDS,Google,-40.9214913,-3.8497833
35497038370,São José do Rio Pardo,3549706,SP,CRAS CASSUCCI,CRAS,"PRUDENTE CORREA, 0 - BUENOS AIRES, São José do Rio Pardo - SP, 13720000",1936829397,08/09/2015,MDS,Google,-46.91539359999999,-21.6085374
31567039078,Sabará,3156700,MG,CRAS CASTANHEIRAS,CRAS,"PRUDENTE DE MORAIS, 17 - CASTANHEIRAS, Sabará - MG, 34589035",3136714572,02/04/2014,MDS,Google,-44.1594878,-19.4746914
35329037645,Nova Europa,3532900,SP,CRAS,CRAS,"PRUDENTE DE MORAIS, 634 - CENTRO, Nova Europa - SP, 14920000",1633871661,18/11/2013,MDS,Google,-48.5623514,-21.7813243
43029003606,Cacequi,4302907,RS,CRAS CENTRO,CRAS,"PRUDENTE DOMINGUES, 1205 - CENTRO, Cacequi - RS, 97450000",5532542006,01/08/2005,MDS,Google,-54.8272638,-29.8774717
35164034829,Franco da Rocha,3516408,SP,CRAS  - Centro de Referência da Assistência Social - Jardim Luciana,CRAS,"Pacaembu, 11 - Jardim Luciana, Franco da Rocha - SP, 7810000",1148007498,25/11/2011,MDS,Google,-46.7521293,-23.3258583
35135037639,Cubatão,3513504,SP,CRAS CENTRAL,CRAS,"Padre  Nivaldo Vicente dos Santos, 41 - Centro, Cubatão - SP, 11510260",1333723822,11/11/2013,MDS,Google,-46.4216144,-23.8826085
28029002392,Itabaiana,2802908,SE,CRAS II- José Wilton  Santos,CRAS,"Padre Airton Gonçalves de Lima, 363 - São Cristóvão, Itabaiana - SE, 49500543",7934311017,01/05/2007,MDS,Google,-37.4116787,-10.6871143
41033506167,Braganey,4103354,PR,CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,CRAS,"Padre Aldacir José Carniel, 902 - CENTRO, Braganey - PR, 85430000",4532451372,01/02/2008,MDS,Google,-53.1189326,-24.818396
32043502456,Rio Bananal,3204351,ES,CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL DE RIO BANANAL,CRAS,"Padre Alessandro Ferloni, 0 - Centro, Rio Bananal - ES, 29920000",2732651992,01/06/2006,MDS,Google,-40.320667,-19.2642185
31574031783,Santa Cruz do Escalvado,3157401,MG,CRAS,CRAS,"Padre Antonio Pinto, 59 - Santo Antonio, Santa Cruz do Escalvado - MG, 34384000",3138831282,06/04/2011,MDS,Google,-42.822543,-20.237862
42029038260,Brusque,4202909,SC,CRAS Azambuja,CRAS,"Padre Antônio Eising, 871 - Azambuja, Brusque - SC, 88353470",4733515347,26/03/2015,MDS,Google,-48.91585550000001,-27.1318325
33056006227,Silva Jardim,3305604,RJ,CRAS CRIAR,CRAS,"Padre Antônio Pinto, 188 - Centro, Silva Jardim - RJ, 28820000",2226688191,01/05/1999,MDS,Google,-42.3899453,-22.653224
